Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A523670,OWNER SUR,09/18/2024,TWINK,CAT,11 YEARS,MED,BRN TABBY / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523670&location=MONT,
A521699,STRAY,08/02/2024,*DAMYAN,CAT,2 YEARS,MED,BRN TABBY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A521699&location=MONT,"7200 ANTARES DR, GAITHERSBURG MD 20879"
A523380,STRAY,09/12/2024,*PIERRE,CAT,1 YEAR,LARGE,BLACK,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523380&location=MONT,"11900 OLD COLUMBIA PIKE, SILVER SPRING MD 20904"
A521698,STRAY,08/02/2024,*MISCHA,CAT,2 YEARS,MED,BRN TABBY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A521698&location=MONT,"7200 ANTARES DR, GAITHERSBURG MD 20879"
A520209,STRAY,06/23/2024,*MAN-RAM,DOG,2 YEARS,LARGE,GRAY / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A520209&location=MONT,"1400 HAMPSHIRE WEST CT, SILVER SPRING MD 20903"
A523446,STRAY,09/14/2024,*RIGAMAROLE,CAT,2 YEARS,LARGE,BLACK,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523446&location=MONT,"10700 COLUMBIA PIKE, SILVER SPRING MD 20901"
A378350,STRAY,09/18/2024,DOVER,CAT,11 YEARS,SMALL,BRN TABBY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A378350&location=MONT,"700 TIFFANY DR, GAITHERSBURG MD 20878"
A511024,STRAY,09/01/2024,NALA,DOG,3 YEARS,LARGE,RED,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A511024&location=MONT,"19500 GUNNERS BRANCH RD, GERMANTOWN MD 20876"
A522987,STRAY,09/04/2024,*PEACH,DOG,3 YEARS,LARGE,BLACK / WHITE,PLOTT HOUND / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A522987&location=MONT,"7100 MILL RUN DR, DERWOOD MD 20855"
A520705,STRAY,07/07/2024,*BULLET,DOG,1 YEAR 2 MONTHS,LARGE,GRAY / WHITE,AKITA / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A520705&location=MONT,"18400 GUILDBERRY DR, GAITHERSBURG MD 20879"
A521124,STRAY,07/18/2024,*CHANEL,DOG,3 YEARS,LARGE,BRINDLE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A521124&location=MONT,"8000 GEORGIA AVE, SILVER SPRING MD 20910"
