年別,女性出生登記人數,男性出生登記人數,女性死亡登記人數,男性死亡登記人數
102年,10561,11065,7364,11913
103年,10756,11764,7819,12463
104年,10754,11715,8127,12381
105年,10528,11229,8400,12965
106年,9731,10529,8384,12984
107年,9636,10471,8684,12812
108年,9407,10040,8894,12927
109年,9140,9789,8824,12888
110年,8719,9333,9350,13576
111年,7753,8380,10525,14937
112年,7548,8257,10635,14941
