"年別","女性出生登記人數","男性出生登記人數","女性死亡登記人數","男性死亡登記人數"
"2013年",10561,11065,7364,11913
"2014年",10756,11764,7819,12463
"2015年",10754,11715,8127,12381
"2016年",10528,11229,8400,12965
"2017年",9731,10529,8384,12984
"2018年",9636,10471,8684,12812
"2019年",9407,10040,8894,12927
"2020年",9140,9789,8824,12888
"2021年",8719,9333,9350,13576
"2022年",7753,8380,10525,14937
"2023年",7548,8257,10635,14941
