""	"┦ネ祅癘计"	"╧┦ネ祅癘计"	"┦祅癘计"	"╧┦祅癘计"
"2013"	10561	11065	7364	11913
"2014"	10756	11764	7819	12463
"2015"	10754	11715	8127	12381
"2016"	10528	11229	8400	12965
"2017"	9731	10529	8384	12984
"2018"	9636	10471	8684	12812
"2019"	9407	10040	8894	12927
"2020"	9140	9789	8824	12888
"2021"	8719	9333	9350	13576
"2022"	7753	8380	10525	14937
"2023"	7548	8257	10635	14941
